time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140812T122508	96.39	700	700	96.47	100	100
20140812T122605	96.39	700	700	96.45	300	300
20140812T122734	96.39	700	700	96.45	400	400
20140812T122929	96.39	200	200	96.45	400	400
20140812T122957	96.39	300	300	96.45	400	400
20140812T123000	96.43	500	500	96.45	400	400
20140812T123126	96.43	500	500	96.55	100	100
20140812T123137	96.43	500	500	96.56	100	100
20140812T123226	96.43	500	500	96.54	100	100
20140812T123331	96.43	500	500	96.55	800	800
20140812T123557	96.43	500	500	96.55	600	600
20140812T123621	96.43	500	500	96.55	400	400
20140812T123654	96.43	500	500	96.54	200	200
20140812T124020	96.43	500	500	96.54	300	300
20140812T124024	96.43	500	500	96.54	200	200
20140812T124409	96.43	500	500	96.54	300	300
20140812T124426	96.43	500	500	96.53	100	100
20140812T124453	96.43	500	500	96.54	200	200
20140812T124549	96.48	500	500	96.54	200	200
20140812T124642	96.48	400	400	96.54	200	200
20140812T124658	96.48	200	200	96.54	200	200
20140812T124700	96.48	100	100	96.54	200	200
20140812T124706	96.48	400	400	96.53	300	300
20140812T124707	96.48	300	300	96.53	300	300
20140812T124735	96.48	200	200	96.53	300	300
20140812T124738	96.48	100	100	96.53	300	300
20140812T124739	96.39	200	200	96.53	300	300
20140812T124801	96.39	200	200	96.51	500	500
20140812T124820	96.39	200	200	96.5	400	400
20140812T124824	96.39	200	200	96.5	500	500
20140812T125008	96.39	200	200	96.5	300	300
20140812T125013	96.4	300	300	96.5	300	300
20140812T125247	96.4	300	300	96.5	100	100
20140812T125253	96.5	900	900	96.54	300	300
20140812T125259	96.5	400	400	96.54	300	300
20140812T125313	96.4	300	300	96.55	400	400
20140812T125400	96.4	300	300	96.5	200	200
20140812T125402	96.4	300	300	96.54	100	100
20140812T125428	96.5	200	200	96.54	100	100
20140812T125437	96.4	300	300	96.54	100	100
20140812T125442	96.48	200	200	96.55	400	400
20140812T125506	96.55	500	500	96.57	500	500
20140812T125535	96.55	300	300	96.57	500	500
20140812T125541	96.55	200	200	96.57	500	500
20140812T125547	96.55	100	100	96.57	500	500
20140812T125552	96.41	200	200	96.57	500	500
20140812T125556	96.4	400	400	96.57	500	500
20140812T125558	96.41	100	100	96.57	500	500
20140812T125604	96.5	200	200	96.57	500	500
20140812T125609	96.55	300	300	96.57	500	500
20140812T125632	96.55	100	100	96.57	500	500
20140812T125715	96.5	200	200	96.57	500	500
