time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140813T153018	566.65	100	100	566.66	100	100
20140813T153019	566.61	100	100	567.16	100	100
20140813T153020	566.61	100	100	567.11	100	100
20140813T153022	566.62	100	100	567.1	100	100
20140813T153023	566.59	100	100	567.08	100	100
20140813T153025	566.56	100	100	567.06	200	200
20140813T153028	566.56	100	100	567.05	100	100
20140813T153031	566.56	100	100	567.	900	900
20140813T153032	566.57	100	100	566.99	100	100
20140813T153034	566.57	100	100	567.	900	900
20140813T153039	566.56	200	200	567.	900	900
20140813T153043	566.56	200	200	566.8	200	200
20140813T153044	566.56	300	300	566.8	100	100
20140813T153055	566.62	1000	1000	566.8	100	100
20140813T153103	566.62	1000	1000	566.8	200	200
20140813T153111	566.62	1000	1000	567.	900	900
20140813T153120	566.64	500	500	567.	100	100
20140813T153121	566.64	600	600	567.	1700	1700
20140813T153130	566.64	700	700	567.	1700	1700
20140813T153145	566.86	100	100	567.	1700	1700
20140813T153145	566.84	300	300	567.	1700	1700
20140813T153146	566.84	300	300	566.98	100	100
20140813T153146	566.65	300	300	566.98	100	100
20140813T153148	566.65	500	500	566.98	100	100
20140813T153154	566.65	500	500	566.89	100	100
20140813T153155	566.79	200	200	566.89	100	100
20140813T153156	566.79	100	100	566.89	100	100
20140813T153158	566.79	100	100	566.98	100	100
20140813T153202	566.79	100	100	567.	1500	1500
20140813T153204	566.79	100	100	567.	1600	1600
20140813T153206	566.79	100	100	567.	400	400
20140813T153208	566.79	100	100	567.	500	500
20140813T153211	566.95	800	800	567.	100	100
20140813T153212	566.95	800	800	567.2	100	100
20140813T153214	566.95	100	100	567.2	100	100
20140813T153215	566.99	100	100	567.2	100	100
20140813T153216	566.9	100	100	567.2	100	100
20140813T153217	566.7	200	200	567.2	200	200
20140813T153219	566.7	100	100	567.19	100	100
20140813T153224	566.71	200	200	567.19	100	100
20140813T153225	566.73	100	100	567.19	100	100
20140813T153226	566.73	100	100	567.19	200	200
20140813T153227	566.72	200	200	567.19	100	100
20140813T153230	566.72	300	300	567.19	100	100
20140813T153231	566.72	200	200	567.18	100	100
20140813T153233	566.73	100	100	567.2	200	200
20140813T153234	566.73	100	100	567.2	100	100
20140813T153235	566.72	100	100	567.15	100	100
20140813T153236	566.62	900	900	567.13	100	100
20140813T153236	566.42	100	100	567.15	100	100
20140813T153236	566.58	100	100	567.15	100	100
20140813T153237	566.59	100	100	567.15	100	100
20140813T153240	566.49	100	100	567.15	100	100
20140813T153241	566.5	100	100	567.15	100	100
20140813T153244	566.61	100	100	567.15	200	200
20140813T153246	566.37	100	100	567.15	200	200
20140813T153247	566.36	100	100	567.15	200	200
20140813T153250	566.37	100	100	567.15	200	200
20140813T153251	566.37	200	200	567.1	100	100
20140813T153252	566.38	100	100	566.9	100	100
20140813T153254	566.36	100	100	566.9	100	100
20140813T153255	566.37	100	100	566.95	100	100
20140813T153257	566.36	100	100	566.95	100	100
20140813T153258	566.37	100	100	566.95	100	100
20140813T153301	566.38	100	100	566.95	100	100
20140813T153302	566.37	100	100	566.9	100	100
20140813T153304	566.37	100	100	566.85	100	100
20140813T153309	566.37	100	100	566.9	300	300
20140813T153317	566.37	100	100	566.89	100	100
20140813T153320	566.37	100	100	566.9	300	300
20140813T153324	566.5	100	100	566.95	100	100
20140813T153328	566.54	100	100	566.95	100	100
20140813T153330	566.54	100	100	566.85	1000	1000
20140813T153355	566.37	100	100	566.84	300	300
20140813T153403	566.37	100	100	566.84	400	400
20140813T153410	566.37	100	100	566.55	100	100
20140813T153414	566.1	600	600	566.55	100	100
20140813T153415	566.1	600	600	566.55	200	200
20140813T153420	566.11	100	100	566.55	200	200
20140813T153422	566.12	100	100	566.55	200	200
20140813T153423	566.1	600	600	566.55	200	200
20140813T153425	566.2	100	100	566.55	200	200
20140813T153427	566.1	600	600	566.55	200	200
20140813T153430	566.1	500	500	566.55	200	200
20140813T153435	566.1	500	500	566.51	100	100
20140813T153438	566.1	500	500	566.51	200	200
20140813T153442	566.28	100	100	566.51	200	200
20140813T153449	566.28	100	100	566.5	1000	1000
20140813T153455	566.28	200	200	566.5	1000	1000
20140813T153500	566.23	200	200	566.41	100	100
20140813T153501	566.24	100	100	566.5	1200	1200
20140813T153502	566.24	100	100	566.5	600	600
20140813T153505	566.24	100	100	566.5	400	400
20140813T153509	566.24	100	100	566.4	100	100
20140813T153510	566.3	100	100	566.4	100	100
20140813T153523	566.31	100	100	566.45	100	100
20140813T153527	566.3	100	100	566.45	100	100
20140813T153534	566.45	400	400	566.5	300	300
20140813T153535	566.45	400	400	566.5	100	100
